ダウンロードした時刻：2022/04/05 11:05:45

,一関
年月日,平均気温(℃)
2021/1/1,-5.2
2021/1/2,-5.3
2021/1/3,-7.3
2021/1/4,-2.9
2021/1/5,-2.4
2021/1/6,-3.6
2021/1/7,-1.5
2021/1/8,-4.9
2021/1/9,-8.2
2021/1/10,-5.5
2021/1/11,-3.2
2021/1/12,-2.6
2021/1/13,-0.1
2021/1/14,1.8
2021/1/15,-0.4
2021/1/16,2.3
2021/1/17,-0.6
2021/1/18,-2.2
2021/1/19,-2.5
2021/1/20,-1.5
2021/1/21,0.9
2021/1/22,2.6
2021/1/23,1.0
2021/1/24,0.7
2021/1/25,0.6
2021/1/26,0.1
2021/1/27,3.4
2021/1/28,0.6
2021/1/29,0.3
2021/1/30,-2.0
2021/1/31,-1.0
2021/2/1,-0.3
2021/2/2,2.3
2021/2/3,-3.7
2021/2/4,-4.7
2021/2/5,-0.5
2021/2/6,4.9
2021/2/7,2.1
2021/2/8,-2.9
2021/2/9,-2.4
2021/2/10,1.0
2021/2/11,2.5
2021/2/12,0.9
2021/2/13,1.9
2021/2/14,3.4
2021/2/15,4.7
2021/2/16,2.2
2021/2/17,-0.6
2021/2/18,-0.5
2021/2/19,3.0
2021/2/20,5.7
2021/2/21,5.9
2021/2/22,8.3
2021/2/23,2.3
2021/2/24,-1.1
2021/2/25,0.3
2021/2/26,1.6
2021/2/27,-0.5
2021/2/28,0.7
2021/3/1,5.9
2021/3/2,7.2
2021/3/3,1.9
2021/3/4,4.4
2021/3/5,8.1
2021/3/6,4.6
2021/3/7,1.3
2021/3/8,2.0
2021/3/9,3.0
2021/3/10,4.6
2021/3/11,5.8
2021/3/12,4.0
2021/3/13,3.7
2021/3/14,7.0
2021/3/15,9.1
2021/3/16,
2021/3/17,6.3
2021/3/18,6.4
2021/3/19,5.6
2021/3/20,4.7
2021/3/21,8.1
2021/3/22,7.5
2021/3/23,5.4
2021/3/24,8.4
2021/3/25,10.5
2021/3/26,9.0
2021/3/27,8.5
2021/3/28,9.5
2021/3/29,16.2
2021/3/30,13.6
2021/3/31,13.1
2021/4/1,9.7
2021/4/2,10.2
2021/4/3,13.7
2021/4/4,12.4
2021/4/5,9.3
2021/4/6,5.7
2021/4/7,8.5
2021/4/8,8.0
2021/4/9,4.5
2021/4/10,6.0
2021/4/11,7.4
2021/4/12,10.8
2021/4/13,14.8
2021/4/14,10.2
2021/4/15,7.3
2021/4/16,10.1
2021/4/17,13.2
2021/4/18,12.0
2021/4/19,11.7
2021/4/20,13.4
2021/4/21,12.3
2021/4/22,11.5
2021/4/23,9.4
2021/4/24,11.5
2021/4/25,10.8
2021/4/26,8.0
2021/4/27,8.7
2021/4/28,13.6
2021/4/29,13.0
2021/4/30,12.9
2021/5/1,12.2
2021/5/2,11.3
2021/5/3,11.1
2021/5/4,15.2
2021/5/5,13.8
2021/5/6,17.5
2021/5/7,14.8
2021/5/8,18.2
2021/5/9,15.9
2021/5/10,14.5
2021/5/11,14.2
2021/5/12,13.3
2021/5/13,16.9
2021/5/14,19.0
2021/5/15,17.4
2021/5/16,18.7
2021/5/17,20.3
2021/5/18,18.8
2021/5/19,15.3
2021/5/20,18.7
2021/5/21,15.5
2021/5/22,16.2
2021/5/23,15.8
2021/5/24,18.5
2021/5/25,19.8
2021/5/26,16.2
2021/5/27,14.1
2021/5/28,18.2
2021/5/29,19.2
2021/5/30,17.3
2021/5/31,17.9
2021/6/1,17.2
2021/6/2,18.7
2021/6/3,20.1
2021/6/4,19.1
